Date,AAPL,GOOG,TSLA,KO,OXY,BAC
2022-08-22,0.0674615102860264,-0.008441189372578919,0.0950824037238736,-0.14045387502343076,-0.018032670864675613,-0.10568025871748701
2022-08-23,0.056892298550251526,-0.015913227390038174,0.08129755498426147,-0.1544679456025924,0.00022134757435372866,-0.1262289367497676
2022-08-24,0.027795578386520685,-0.04108391264092152,0.04750454056322645,-0.17960524552988583,-0.015638764654031613,-0.1576882560962212
2022-08-25,0.025350394098253144,-0.03731361435414082,0.025555571985268626,-0.14902471940217668,-0.023468621521950138,-0.1309423840408208
2022-08-26,0.024590014553793824,-0.057499015500081886,0.02877669301501517,-0.10361950953696743,-0.0027357604694909234,-0.1313983730231681
2022-08-29,0.018542644406827326,-0.0598958758924681,0.03682931199700452,-0.0966792742620118,0.003492320454524006,-0.11797775877523671
2022-08-30,-0.012997864374800367,-0.08754040061691944,0.0030241863443047482,-0.13562972789263342,-0.012984157304545276,-0.11905186036676486
2022-08-31,0.017435202863503634,-0.06985036009711837,0.0486699766615604,-0.11761943006314331,-0.022899642696228767,-0.11267959015612167
2022-09-01,0.004867159545011451,-0.0850720209806273,0.03718173816799846,-0.1294193643051388,-0.04256318390061246,-0.12745885847144767
2022-09-02,-0.02138482917344356,-0.09702634665617184,0.024078548371718207,-0.15723543736057002,-0.04626434597118215,-0.1330529065589992
2022-09-06,-0.0462313756191969,-0.12134455937931223,0.013338861872087012,-0.18710514721626223,-0.06140262791810155,-0.1540596025122185
2022-09-07,0.016861483259736368,-0.07150837024903342,0.0457503314616597,-0.09212397128426467,-0.03207903089817374,-0.08607488939729839
2022-09-08,0.07017327728550851,-0.03987963198363,0.08300414068112044,-0.04580526055659921,-0.014876552271043366,0.0013065389320026668
2022-09-09,0.18065824010666717,0.03922588368330262,0.16597962317716533,0.04371663707456442,0.05289429077634923,0.0929867470087511
2022-09-12,0.22372648029290187,0.05250546641045874,0.17305149306724543,0.14620977606259247,0.0547204842184956,0.1393218676221518
2022-09-13,0.10062343520654005,-0.03565635272290902,0.10629144383455975,0.00815142342505775,0.03678248272893782,0.046190976311284326
2022-09-14,0.12820664633469245,-0.025296900387719215,0.16549446810507246,-0.0038827065457660423,0.07094036009608572,0.027328291768477075
2022-09-15,0.07049961982099062,-0.06766843134308546,0.14091538053390978,-0.09453623529577417,0.04666689290558043,0.011033080055500572
2022-09-16,0.05469029809252976,-0.08002845058674402,0.1132230326891426,-0.09302251339504622,0.034034633646607734,-0.0034811868872549356
2022-09-19,0.02762505290286722,-0.11809474702942506,0.09312683906752511,-0.1824376893990278,0.025137060912443165,-0.03487963429490329
